Achat;Compra;En Orient, il est de costume de marchander ses achats;10/12/2021;5;2;20;10;mine;name;-
Affinité;Afinitat;Je n'ai aucune affinité avec mes voisins;07/01/2022;6;2,1;42;10;lecture6;name;-
Agir, Agit;Actuar;Le maire agit dans l'intérêt de sa communauté;25/12/2021;6;2,1;42;10;mine;verb;-
Allergologue;Alergoleg;L'allergologue est le docteur qui connaît des allergies;03/02/2022;7;2;60;10;lecture4;name;-
Allocation;Subsidi;Heureusement, Gérard touchait les allocations chômage pour l'aider à traverser cette période difficile;16/12/2021;6;1,86;26;10;lecture6;name;-
Alors;Llavors;Elle ne savait pas ni lire ni écrire alors, elle a appris;23/12/2021;6;2,1;42;10;lecture4;adverb;-
Amère;Amarg;Une bière très amère que nous avons bue;07/12/2021;1;1,6;2;2;homework;adjective;-
Analyser;Analitzar;Ce laboratoire va analyser la saliver et rédiger un rapport;20/12/2021;6;1,9;30;10;lecture5;verb;-
Ancêtre;Ancestre;Identifier de nouveaux ancêtres sur plusieurs générations;25/12/2021;6;2,1;42;10;lecture5;name;-
Apaisant;Apaciguador;Marie a prononcé des paroles apaisantes après leur dispute;28/12/2021;6;1,9;30;10;mine;adjective;-
Apporter, Apporte;Porta;Apporte tes livres et nous étudierons ensamble;10/12/2021;4;1,7;9;7;lecture8;verb;-
Atteindre, Atteindrons;Arribar a;Nous atteindrons Paris avant la nuit;07/12/2021;0;1,3;2;1;lecture7;verb;-
Attendre un Objectif;Lograr un objectiu;Le gouvernement veut attendre un objectif plus large;07/12/2021;3;1,64;5;5;lecture6;idiom;-
Au Moins;Almenys;Il y aurait au moins pour 150 £ pour faire réparer cette télévision;27/12/2021;5;2,08;25;10;lecture6;adverb;-
Au contraire;Al contrario;Ça me gêne ? Au contraire, Je serais ravi de te rendre service;10/12/2021;5;2;20;10;lecture9;adverb;-
Avoir Fait Failite, A Fait Failite;Ha fet fallida;L'entreprise a fait failite, alors les employés sont au chômage;20/12/2021;6;1,9;30;10;mine;idiom;-
Avoir envie de, Ont envie de;Volen;Ils ont envie de retrouver leurs racines;28/12/2021;6;1,9;30;10;lecture8;prep verb;-
Avoir l'intention de, Ont l'intention de;Tenir l'intenció de;Tous ont l'intention de profiter de l'entreprise;04/01/2022;6;1,9;30;10;lecture8;prep verb;-
Aîné;El més gran;L'adolescent de 15 ans, l'aîné d'une fratrie de quatre enfants, s'occupe de ses frères et sœurs comme un père;10/12/2021;4;1,7;9;7;mine;adjective;-
Bagage Culturel;Bagatge cultural;Ce musée te permet enrichir ton bagage culturel;07/01/2022;6;2,1;42;10;lecture6;name;-
Baies Sauvages;Wild berries;Après leur naufrage, ils durent leur survie aux baies sauvages;13/01/2022;6;2,1;42;10;mine;name;-
Blouse D'école;Bata escolar;La blouse d'école que nous portons en Espagne est bleue;07/12/2021;1;1,6;2;2;homework;name;-
Bonheur;Alegría;Quel bonheur de vous revoir !;07/01/2022;6;2,1;42;10;lecture6;name;-
Bougie;Vela;Il y a toujours des bougies sur un gâteau d'anniversaire;20/12/2021;6;1,9;30;10;lecture6;name;-
Boulot;Curro;J'ai trouvé un boulot dans le bâtiment;23/12/2021;6;2,1;42;10;lecture4;name;-
Boîte;Dico;Je suis allé en boîte avec des potes célibataires.;17/12/2021;6;2,1;42;10;mine;name;-
But;Gol;Messi a marqué un but;23/12/2021;6;2,1;42;10;lecture4;name;-
Bâtiment;Construcció;J'ai trouvé un boulot dans le bâtiment;23/12/2021;6;2,1;42;10;lecture4;name;-
Béquille;Muleta;Lucie s'est fracturé la cheville et devra marcher avec des béquilles;07/01/2022;6;2,1;42;10;lecture5;name;-
C'est Décidé;Está decidit;Je suis prête à rentrer au pays, c'est décidé !;28/12/2021;6;1,9;30;10;lecture8;idiom;-
C'est ne pas mon truc;No es la meva cosa;Ça ne me plaît pas, C'est ne pas mon truc;28/12/2021;6;1,9;30;10;lecture6;idiom;-
Cabinet de recrutement;Agencia de contratació;Profoliogy n'est-il pas juste un cabinet de recrutement de personel spécialisé;14/12/2021;4;1,74;9;7;lecture8;name;-
Carrelage;Baldosa;Un magnifique sauna en carrelage bleu et crème.;07/12/2021;0;1,3;2;1;homework;name;-
Cendrillon;cenicienta;La marâtre de Cendrillon était odieuse avec elle.;07/12/2021;3;1,6;5;5;mine;name;-
Cheville;Turmell;Lucie s'est fracturé la cheville et devra marcher avec des béquilles;07/12/2021;0;1,3;2;1;mine;name;-
Chouette;Agradable;On a passé une chouette soirée;04/01/2022;6;1,9;30;10;lecture9;adjective;-
Clos;Tancat;Le ministère public avait donc clos l'enquête.;07/12/2021;1;1,6;2;2;homework;name;-
Collecte;Colecta;Une collecte a été organisée pour les victimes de l'explosion;25/12/2021;6;2,1;42;10;lecture5;name;-
Commun;Comú;Avec des résultats tu peux retrouver un ancêtre commun;25/12/2021;6;2,1;42;10;lecture5;adjective;-
Conjoint;Conjugue;J'ai parlerai ce soir avec mon conjoint;08/12/2021;2;1,66;3;3;lecture7;name;-
Contrairement à;Contrariament a;Contrairement à moi mon fils est un grand sportif;07/12/2021;0;1,3;2;1;lecture9;adverb;-
Coupé;Tallat;Elle est revenue les chevaux coupés;07/12/2021;3;1,6;5;5;lecture4;adjective;-
Courageux, Courageuse;Coratgosa;Les mois ont été durs mais ma grand-mère était courageuse;23/12/2021;6;2,1;42;10;lecture4;adjective;-
Couvert;Covert;Ce club de tennis compte deux courts couverts et six courts extérieurs;28/12/2021;6;1,9;30;10;lecture6;adjective;-
Couverture;Manta;Si vous avez froid il y a une couverture supplémentaire dans l'armoire;23/12/2021;6;2,1;42;10;lecture4;name;-
Creuser, Creuse;Cavar;Prends cette pelle et creuse;20/12/2021;6;1,9;30;10;lecture5;verb;-
Croissance;Creixement;La croissance des enfants dure jusqu'à l'adolescence;12/01/2022;6;2,1;42;10;lecture8;name;-
Crème Fouetté;Crema chantillí;Je suis contente parce que j'ai bien réussi ma crème fouetté;07/01/2022;6;2,1;42;10;mine;name;-
Cueillir;Collir;Je prends une échelle pour cueillir les fruits dans les arbres;28/12/2021;6;1,9;30;10;mine;verb;-
